layer,laser_on,x1,y1,z1,x2,y2,z2,feedrate
1.0,True,25.9252,-6.9826,0.025,25.9252,-7.944,0.025,600.0
1.0,True,25.9252,-7.944,0.025,25.9252,-8.9054,0.025,600.0
1.0,True,25.9252,-8.9054,0.025,25.9252,-9.7656,0.025,600.0
1.0,True,25.9252,-9.7656,0.025,25.9252,-10.6258,0.025,600.0
1.0,True,25.9252,-10.6258,0.025,25.9252,-11.486,0.025,600.0
1.0,True,25.9252,-11.486,0.025,25.9252,-12.3461,0.025,600.0
1.0,True,25.9252,-12.3461,0.025,25.9252,-13.1051,0.025,600.0
1.0,True,25.9252,-13.1051,0.025,25.9252,-13.8641,0.025,600.0
1.0,True,25.9252,-13.8641,0.025,25.9252,-14.6231,0.025,600.0
1.0,True,25.9252,-14.6231,0.025,25.9252,-15.3821,0.025,600.0
1.0,True,25.9252,-15.3821,0.025,25.9252,-16.0905,0.025,600.0
1.0,True,25.9252,-16.0905,0.025,25.9252,-16.7988,0.025,600.0
1.0,True,25.9252,-16.7988,0.025,25.9252,-17.5072,0.025,600.0
1.0,True,25.9252,-17.5072,0.025,25.9252,-18.3927,0.025,600.0
1.0,True,25.9252,-18.3927,0.025,25.9252,-19.2782,0.025,600.0
1.0,True,25.9252,-19.2782,0.025,25.9252,-20.1637,0.025,600.0
1.0,True,25.9252,-20.1637,0.025,25.9252,-21.0491,0.025,600.0
1.0,True,25.9252,-21.0491,0.025,25.9252,-21.9599,0.025,600.0
1.0,True,25.9252,-21.9599,0.025,25.9252,-22.8707,0.025,600.0
1.0,True,25.9252,-22.8707,0.025,25.9252,-23.7815,0.025,600.0
1.0,True,25.9252,-23.7815,0.025,25.9252,-24.6923,0.025,600.0
1.0,True,25.9252,-24.6923,0.025,25.9227,-25.4513,0.025,600.0
1.0,True,25.9227,-25.4513,0.025,25.8968,-25.5704,0.025,600.0
1.0,True,25.8968,-25.5704,0.025,25.8598,-25.6536,0.025,600.0
1.0,True,25.8598,-25.6536,0.025,25.8054,-25.7339,0.025,600.0
1.0,True,25.8054,-25.7339,0.025,25.7042,-25.828,0.025,600.0
1.0,True,25.7042,-25.828,0.025,25.603,-25.8845,0.025,600.0
1.0,True,25.603,-25.8845,0.025,25.5378,-25.9066,0.025,600.0
1.0,True,25.5378,-25.9066,0.025,25.4513,-25.9227,0.025,600.0
1.0,True,25.4513,-25.9227,0.025,24.5658,-25.9239,0.025,600.0
1.0,True,24.5658,-25.9239,0.025,23.6803,-25.9252,0.025,600.0
1.0,True,23.6803,-25.9252,0.025,22.8201,-25.9252,0.025,600.0
1.0,True,22.8201,-25.9252,0.025,21.9599,-25.9252,0.025,600.0
1.0,True,21.9599,-25.9252,0.025,21.1756,-25.9252,0.025,600.0
1.0,True,21.1756,-25.9252,0.025,20.3914,-25.9252,0.025,600.0
1.0,True,20.3914,-25.9252,0.025,19.6071,-25.9252,0.025,600.0
1.0,True,19.6071,-25.9252,0.025,18.8228,-25.9252,0.025,600.0
1.0,True,18.8228,-25.9252,0.025,18.0638,-25.9252,0.025,600.0
1.0,True,18.0638,-25.9252,0.025,17.3048,-25.9252,0.025,600.0
1.0,True,17.3048,-25.9252,0.025,16.5458,-25.9252,0.025,600.0
1.0,True,16.5458,-25.9252,0.025,15.7869,-25.9252,0.025,600.0
1.0,True,15.7869,-25.9252,0.025,14.8255,-25.9252,0.025,600.0
1.0,True,14.8255,-25.9252,0.025,13.8641,-25.9252,0.025,600.0
1.0,True,13.8641,-25.9252,0.025,12.9027,-25.9252,0.025,600.0
1.0,True,12.9027,-25.9252,0.025,11.9413,-25.9252,0.025,600.0
1.0,True,11.9413,-25.9252,0.025,10.98,-25.9252,0.025,600.0
1.0,True,10.98,-25.9252,0.025,10.0186,-25.9252,0.025,600.0
1.0,True,10.0186,-25.9252,0.025,9.0572,-25.9252,0.025,600.0
1.0,True,9.0572,-25.9252,0.025,8.0958,-25.9252,0.025,600.0
1.0,True,8.0958,-25.9252,0.025,7.1344,-25.9252,0.025,600.0
1.0,True,7.1344,-25.9252,0.025,6.1731,-25.9252,0.025,600.0
1.0,True,6.1731,-25.9252,0.025,5.3888,-25.9252,0.025,600.0
1.0,True,5.3888,-25.9252,0.025,4.6045,-25.9252,0.025,600.0
1.0,True,4.6045,-25.9252,0.025,3.8202,-25.9252,0.025,600.0
1.0,True,3.8202,-25.9252,0.025,3.0359,-25.9252,0.025,600.0
1.0,True,3.0359,-25.9252,0.025,2.2601,-25.9252,0.025,600.0
1.0,True,2.2601,-25.9252,0.025,1.4842,-25.9252,0.025,600.0
1.0,True,1.4842,-25.9252,0.025,0.7084,-25.9252,0.025,600.0
1.0,True,0.7084,-25.9252,0.025,-0.2783,-25.9252,0.025,600.0
1.0,True,-0.2783,-25.9252,0.025,-1.265,-25.9252,0.025,600.0
1.0,True,-1.265,-25.9252,0.025,-2.2517,-25.9252,0.025,600.0
1.0,True,-2.2517,-25.9252,0.025,-3.2383,-25.9252,0.025,600.0
1.0,True,-3.2383,-25.9252,0.025,-4.0816,-25.9252,0.025,600.0
1.0,True,-4.0816,-25.9252,0.025,-4.925,-25.9252,0.025,600.0
1.0,True,-4.925,-25.9252,0.025,-5.7683,-25.9252,0.025,600.0
1.0,True,-5.7683,-25.9252,0.025,-6.5526,-25.9252,0.025,600.0
1.0,True,-6.5526,-25.9252,0.025,-7.3368,-25.9252,0.025,600.0
1.0,True,-7.3368,-25.9252,0.025,-8.1211,-25.9252,0.025,600.0
1.0,True,-8.1211,-25.9252,0.025,-8.9054,-25.9252,0.025,600.0
1.0,True,-8.9054,-25.9252,0.025,-9.7656,-25.9252,0.025,600.0
1.0,True,-9.7656,-25.9252,0.025,-10.6258,-25.9252,0.025,600.0
1.0,True,-10.6258,-25.9252,0.025,-11.486,-25.9252,0.025,600.0
1.0,True,-11.486,-25.9252,0.025,-12.3461,-25.9252,0.025,600.0
1.0,True,-12.3461,-25.9252,0.025,-13.1051,-25.9252,0.025,600.0
1.0,True,-13.1051,-25.9252,0.025,-13.8641,-25.9252,0.025,600.0
1.0,True,-13.8641,-25.9252,0.025,-14.6231,-25.9252,0.025,600.0
1.0,True,-14.6231,-25.9252,0.025,-15.3821,-25.9252,0.025,600.0
1.0,True,-15.3821,-25.9252,0.025,-16.0905,-25.9252,0.025,600.0
1.0,True,-16.0905,-25.9252,0.025,-16.7988,-25.9252,0.025,600.0
1.0,True,-16.7988,-25.9252,0.025,-17.5072,-25.9252,0.025,600.0
1.0,True,-17.5072,-25.9252,0.025,-18.3927,-25.9252,0.025,600.0
1.0,True,-18.3927,-25.9252,0.025,-19.2782,-25.9252,0.025,600.0
1.0,True,-19.2782,-25.9252,0.025,-20.1637,-25.9252,0.025,600.0
1.0,True,-20.1637,-25.9252,0.025,-21.0491,-25.9252,0.025,600.0
1.0,True,-21.0491,-25.9252,0.025,-21.9599,-25.9252,0.025,600.0
1.0,True,-21.9599,-25.9252,0.025,-22.8707,-25.9252,0.025,600.0
1.0,True,-22.8707,-25.9252,0.025,-23.7815,-25.9252,0.025,600.0
1.0,True,-23.7815,-25.9252,0.025,-24.6923,-25.9252,0.025,600.0
1.0,True,-24.6923,-25.9252,0.025,-25.4513,-25.9227,0.025,600.0
1.0,True,-25.4513,-25.9227,0.025,-25.5704,-25.8968,0.025,600.0
1.0,True,-25.5704,-25.8968,0.025,-25.6536,-25.8598,0.025,600.0
1.0,True,-25.6536,-25.8598,0.025,-25.7339,-25.8054,0.025,600.0
1.0,True,-25.7339,-25.8054,0.025,-25.828,-25.7042,0.025,600.0
1.0,True,-25.828,-25.7042,0.025,-25.8845,-25.603,0.025,600.0
1.0,True,-25.8845,-25.603,0.025,-25.9066,-25.5378,0.025,600.0
1.0,True,-25.9066,-25.5378,0.025,-25.9227,-25.4513,0.025,600.0
1.0,True,-25.9227,-25.4513,0.025,-25.9252,-24.6923,0.025,600.0
1.0,True,-25.9252,-24.6923,0.025,-25.9252,-23.8152,0.025,600.0
1.0,True,-25.9252,-23.8152,0.025,-25.9252,-22.9382,0.025,600.0
1.0,True,-25.9252,-22.9382,0.025,-25.9252,-22.0611,0.025,600.0
1.0,True,-25.9252,-22.0611,0.025,-25.9252,-21.2009,0.025,600.0
1.0,True,-25.9252,-21.2009,0.025,-25.9252,-20.3408,0.025,600.0
1.0,True,-25.9252,-20.3408,0.025,-25.9252,-19.4806,0.025,600.0
1.0,True,-25.9252,-19.4806,0.025,-25.9252,-18.6204,0.025,600.0
1.0,True,-25.9252,-18.6204,0.025,-25.9252,-17.7602,0.025,600.0
1.0,True,-25.9252,-17.7602,0.025,-25.9252,-16.9,0.025,600.0
1.0,True,-25.9252,-16.9,0.025,-25.9252,-16.0399,0.025,600.0
1.0,True,-25.9252,-16.0399,0.025,-25.9252,-15.1797,0.025,600.0
1.0,True,-25.9252,-15.1797,0.025,-25.9252,-14.4207,0.025,600.0
1.0,True,-25.9252,-14.4207,0.025,-25.9252,-13.6617,0.025,600.0
1.0,True,-25.9252,-13.6617,0.025,-25.9252,-12.9027,0.025,600.0
1.0,True,-25.9252,-12.9027,0.025,-25.9252,-12.1437,0.025,600.0
1.0,True,-25.9252,-12.1437,0.025,-25.9252,-11.3342,0.025,600.0
1.0,True,-25.9252,-11.3342,0.025,-25.9252,-10.5246,0.025,600.0
1.0,True,-25.9252,-10.5246,0.025,-25.9252,-9.715,0.025,600.0
1.0,True,-25.9252,-9.715,0.025,-25.9252,-8.9054,0.025,600.0
1.0,True,-25.9252,-8.9054,0.025,-25.9252,-7.9946,0.025,600.0
1.0,True,-25.9252,-7.9946,0.025,-25.9252,-7.0838,0.025,600.0
1.0,True,-25.9252,-7.0838,0.025,-25.9252,-6.1731,0.025,600.0
1.0,True,-25.9252,-6.1731,0.025,-25.9252,-5.2117,0.025,600.0
1.0,True,-25.9252,-5.2117,0.025,-25.9252,-4.2503,0.025,600.0
1.0,True,-25.9252,-4.2503,0.025,-25.9252,-3.2889,0.025,600.0
1.0,True,-25.9252,-3.2889,0.025,-25.9252,-2.3276,0.025,600.0
1.0,True,-25.9252,-2.3276,0.025,-25.9252,-1.3662,0.025,600.0
1.0,True,-25.9252,-1.3662,0.025,-25.9252,-0.4048,0.025,600.0
1.0,True,-25.9252,-0.4048,0.025,-25.9252,0.5566,0.025,600.0
1.0,True,-25.9252,0.5566,0.025,-25.9252,1.518,0.025,600.0
1.0,True,-25.9252,1.518,0.025,-25.9252,2.4793,0.025,600.0
1.0,True,-25.9252,2.4793,0.025,-25.9252,3.4407,0.025,600.0
1.0,True,-25.9252,3.4407,0.025,-25.9252,3.9467,0.025,600.0
1.0,True,-25.9252,3.9467,0.025,-25.9252,4.4527,0.025,600.0
1.0,False,-25.9252,4.4527,0.025,0.0,4.4527,0.025,600.0
1.0,False,0.0,4.4527,0.025,0.0,4.4527,6.025,600.0
1.0,False,0.0,4.4527,6.025,-24.899,-25.9245,6.025,600.0
1.0,False,-24.899,-25.9245,6.025,-24.899,-25.9245,0.025,600.0
1.0,True,-24.899,-25.9245,0.025,-23.9178,-25.9245,0.025,600.0
1.0,True,-23.9178,-25.9245,0.025,-22.9366,-25.9245,0.025,600.0
1.0,True,-22.9366,-25.9245,0.025,-21.9553,-25.9245,0.025,600.0
1.0,True,-21.9553,-25.9245,0.025,-20.9741,-25.9245,0.025,600.0
1.0,True,-20.9741,-25.9245,0.025,-19.9929,-25.9245,0.025,600.0
1.0,True,-19.9929,-25.9245,0.025,-19.0116,-25.9245,0.025,600.0
