line_number,raw_line,layer,laser_on,feedrate,tool,X,Y,Z,B,C,dx,dy,dz,step_distance,deposition_move,laser_power_watts,estimated_linear_energy
2266,X-12.9626,1.0,True,600.0,,-12.9626,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2267,X-13.9597,1.0,True,600.0,,-13.9597,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2268,X-14.9569,1.0,True,600.0,,-14.9569,-1.7283,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2269,X-15.954,1.0,True,600.0,,-15.954,-1.7283,0.025,0.0,0.0,-0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2270,X-16.9511,1.0,True,600.0,,-16.9511,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2271,X-17.9482,1.0,True,600.0,,-17.9482,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2272,X-18.9454,1.0,True,600.0,,-18.9454,-1.7283,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2273,X-19.9425,1.0,True,600.0,,-19.9425,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2274,X-20.9396,1.0,True,600.0,,-20.9396,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2275,X-21.9367,1.0,True,600.0,,-21.9367,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2276,X-22.9339,1.0,True,600.0,,-22.9339,-1.7283,0.025,0.0,0.0,-0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2277,X-23.931,1.0,True,600.0,,-23.931,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2278,X-24.9281,1.0,True,600.0,,-24.9281,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2279,X-25.9252,1.0,True,600.0,,-25.9252,-1.7283,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2280,Y-1.037,1.0,True,600.0,,-25.9252,-1.037,0.025,0.0,0.0,0.0,0.6913,0.0,0.6913,True,500.0,0.8333333333333334
2281,X-24.9281,1.0,True,600.0,,-24.9281,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2282,X-23.931,1.0,True,600.0,,-23.931,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2283,X-22.9339,1.0,True,600.0,,-22.9339,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2284,X-21.9367,1.0,True,600.0,,-21.9367,-1.037,0.025,0.0,0.0,0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2285,X-20.9396,1.0,True,600.0,,-20.9396,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2286,X-19.9425,1.0,True,600.0,,-19.9425,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2287,X-18.9454,1.0,True,600.0,,-18.9454,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2288,X-17.9482,1.0,True,600.0,,-17.9482,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2289,X-16.9511,1.0,True,600.0,,-16.9511,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2290,X-15.954,1.0,True,600.0,,-15.954,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2291,X-14.9569,1.0,True,600.0,,-14.9569,-1.037,0.025,0.0,0.0,0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2292,X-13.9597,1.0,True,600.0,,-13.9597,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2293,X-12.9626,1.0,True,600.0,,-12.9626,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2294,X-11.9655,1.0,True,600.0,,-11.9655,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2295,X-10.9684,1.0,True,600.0,,-10.9684,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2296,X-9.9712,1.0,True,600.0,,-9.9712,-1.037,0.025,0.0,0.0,0.9972000000000012,0.0,0.0,0.9972000000000012,True,500.0,0.8333333333333334
2297,X-8.9741,1.0,True,600.0,,-8.9741,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2298,X-7.977,1.0,True,600.0,,-7.977,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2299,X-6.9799,1.0,True,600.0,,-6.9799,-1.037,0.025,0.0,0.0,0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2300,X-5.9827,1.0,True,600.0,,-5.9827,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2301,X-4.9856,1.0,True,600.0,,-4.9856,-1.037,0.025,0.0,0.0,0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2302,X-3.9885,1.0,True,600.0,,-3.9885,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2303,X-2.9914,1.0,True,600.0,,-2.9914,-1.037,0.025,0.0,0.0,0.9971000000000001,0.0,0.0,0.9971000000000001,True,500.0,0.8333333333333334
2304,X-1.9942,1.0,True,600.0,,-1.9942,-1.037,0.025,0.0,0.0,0.9972000000000001,0.0,0.0,0.9972000000000001,True,500.0,0.8333333333333334
2305,X-0.9971,1.0,True,600.0,,-0.9971,-1.037,0.025,0.0,0.0,0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2306,X0.,1.0,True,600.0,,0.0,-1.037,0.025,0.0,0.0,0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2307,X0.9971,1.0,True,600.0,,0.9971,-1.037,0.025,0.0,0.0,0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2308,X1.9942,1.0,True,600.0,,1.9942,-1.037,0.025,0.0,0.0,0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2309,X2.9914,1.0,True,600.0,,2.9914,-1.037,0.025,0.0,0.0,0.9972000000000001,0.0,0.0,0.9972000000000001,True,500.0,0.8333333333333334
2310,X3.9885,1.0,True,600.0,,3.9885,-1.037,0.025,0.0,0.0,0.9971000000000001,0.0,0.0,0.9971000000000001,True,500.0,0.8333333333333334
2311,X4.9856,1.0,True,600.0,,4.9856,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2312,X5.9827,1.0,True,600.0,,5.9827,-1.037,0.025,0.0,0.0,0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2313,X6.9799,1.0,True,600.0,,6.9799,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2314,X7.977,1.0,True,600.0,,7.977,-1.037,0.025,0.0,0.0,0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2315,X8.9741,1.0,True,600.0,,8.9741,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2316,X9.9712,1.0,True,600.0,,9.9712,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2317,X10.9684,1.0,True,600.0,,10.9684,-1.037,0.025,0.0,0.0,0.9972000000000012,0.0,0.0,0.9972000000000012,True,500.0,0.8333333333333334
2318,X11.9655,1.0,True,600.0,,11.9655,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2319,X12.9626,1.0,True,600.0,,12.9626,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2320,X13.9597,1.0,True,600.0,,13.9597,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2321,X14.9569,1.0,True,600.0,,14.9569,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2322,X15.954,1.0,True,600.0,,15.954,-1.037,0.025,0.0,0.0,0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2323,X16.9511,1.0,True,600.0,,16.9511,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2324,X17.9482,1.0,True,600.0,,17.9482,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2325,X18.9454,1.0,True,600.0,,18.9454,-1.037,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2326,X19.9425,1.0,True,600.0,,19.9425,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2327,X20.9396,1.0,True,600.0,,20.9396,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2328,X21.9367,1.0,True,600.0,,21.9367,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2329,X22.9339,1.0,True,600.0,,22.9339,-1.037,0.025,0.0,0.0,0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2330,X23.931,1.0,True,600.0,,23.931,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2331,X24.9281,1.0,True,600.0,,24.9281,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2332,X25.9252,1.0,True,600.0,,25.9252,-1.037,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2333,Y-0.3457,1.0,True,600.0,,25.9252,-0.3457,0.025,0.0,0.0,0.0,0.6912999999999999,0.0,0.6912999999999999,True,500.0,0.8333333333333334
2334,X24.9281,1.0,True,600.0,,24.9281,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2335,X23.931,1.0,True,600.0,,23.931,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2336,X22.9339,1.0,True,600.0,,22.9339,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2337,X21.9367,1.0,True,600.0,,21.9367,-0.3457,0.025,0.0,0.0,-0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2338,X20.9396,1.0,True,600.0,,20.9396,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2339,X19.9425,1.0,True,600.0,,19.9425,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2340,X18.9454,1.0,True,600.0,,18.9454,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2341,X17.9482,1.0,True,600.0,,17.9482,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2342,X16.9511,1.0,True,600.0,,16.9511,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2343,X15.954,1.0,True,600.0,,15.954,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2344,X14.9569,1.0,True,600.0,,14.9569,-0.3457,0.025,0.0,0.0,-0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2345,X13.9597,1.0,True,600.0,,13.9597,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2346,X12.9626,1.0,True,600.0,,12.9626,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2347,X11.9655,1.0,True,600.0,,11.9655,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2348,X10.9684,1.0,True,600.0,,10.9684,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2349,X9.9712,1.0,True,600.0,,9.9712,-0.3457,0.025,0.0,0.0,-0.9972000000000012,0.0,0.0,0.9972000000000012,True,500.0,0.8333333333333334
2350,X8.9741,1.0,True,600.0,,8.9741,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2351,X7.977,1.0,True,600.0,,7.977,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2352,X6.9799,1.0,True,600.0,,6.9799,-0.3457,0.025,0.0,0.0,-0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2353,X5.9827,1.0,True,600.0,,5.9827,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2354,X4.9856,1.0,True,600.0,,4.9856,-0.3457,0.025,0.0,0.0,-0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2355,X3.9885,1.0,True,600.0,,3.9885,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2356,X2.9914,1.0,True,600.0,,2.9914,-0.3457,0.025,0.0,0.0,-0.9971000000000001,0.0,0.0,0.9971000000000001,True,500.0,0.8333333333333334
2357,X1.9942,1.0,True,600.0,,1.9942,-0.3457,0.025,0.0,0.0,-0.9972000000000001,0.0,0.0,0.9972000000000001,True,500.0,0.8333333333333334
2358,X0.9971,1.0,True,600.0,,0.9971,-0.3457,0.025,0.0,0.0,-0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2359,X0.,1.0,True,600.0,,0.0,-0.3457,0.025,0.0,0.0,-0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2360,X-0.9971,1.0,True,600.0,,-0.9971,-0.3457,0.025,0.0,0.0,-0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2361,X-1.9942,1.0,True,600.0,,-1.9942,-0.3457,0.025,0.0,0.0,-0.9971,0.0,0.0,0.9971,True,500.0,0.8333333333333334
2362,X-2.9914,1.0,True,600.0,,-2.9914,-0.3457,0.025,0.0,0.0,-0.9972000000000001,0.0,0.0,0.9972000000000001,True,500.0,0.8333333333333334
2363,X-3.9885,1.0,True,600.0,,-3.9885,-0.3457,0.025,0.0,0.0,-0.9971000000000001,0.0,0.0,0.9971000000000001,True,500.0,0.8333333333333334
2364,X-4.9856,1.0,True,600.0,,-4.9856,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2365,X-5.9827,1.0,True,600.0,,-5.9827,-0.3457,0.025,0.0,0.0,-0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2366,X-6.9799,1.0,True,600.0,,-6.9799,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2367,X-7.977,1.0,True,600.0,,-7.977,-0.3457,0.025,0.0,0.0,-0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2368,X-8.9741,1.0,True,600.0,,-8.9741,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2369,X-9.9712,1.0,True,600.0,,-9.9712,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2370,X-10.9684,1.0,True,600.0,,-10.9684,-0.3457,0.025,0.0,0.0,-0.9972000000000012,0.0,0.0,0.9972000000000012,True,500.0,0.8333333333333334
2371,X-11.9655,1.0,True,600.0,,-11.9655,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
