Change Timestamp,Variable,New Value
2026-03-20T19:12:40Z,zpostn,254.16935
2026-03-20T19:12:40Z,xlod,1
2026-03-20T19:12:40Z,ylod,5
2026-03-20T19:12:40Z,zlod,69
2026-03-20T19:12:40Z,fact,24.999
2026-03-20T19:12:40Z,toolnum,6
2026-03-20T19:12:40Z,program,CDSDRYRUN
2026-03-20T19:12:42Z,xpostn,10.4666
2026-03-20T19:12:42Z,ypostn,7.1165
2026-03-20T19:12:42Z,zpostn,286.3704
2026-03-20T19:12:42Z,xlod,1
2026-03-20T19:12:42Z,ylod,5
2026-03-20T19:12:42Z,zlod,43
2026-03-20T19:12:42Z,fact,70.313854
2026-03-20T19:12:42Z,toolnum,6
2026-03-20T19:12:42Z,program,CDSDRYRUN
2026-03-20T19:12:43Z,xpostn,73.8176
2026-03-20T19:12:43Z,ypostn,71.17075
2026-03-20T19:12:43Z,zpostn,286.3817
2026-03-20T19:12:43Z,xlod,32
2026-03-20T19:12:43Z,ylod,34
2026-03-20T19:12:43Z,zlod,60
2026-03-20T19:12:43Z,fact,70.313854
2026-03-20T19:12:43Z,toolnum,6
2026-03-20T19:12:43Z,program,CDSDRYRUN
2026-03-20T19:12:44Z,xpostn,210.96125
2026-03-20T19:12:44Z,ypostn,209.83675
2026-03-20T19:12:44Z,zpostn,286.3817
2026-03-20T19:12:44Z,xlod,32
2026-03-20T19:12:44Z,ylod,37
2026-03-20T19:12:44Z,zlod,66
2026-03-20T19:12:44Z,fact,175.792968
2026-03-20T19:12:44Z,toolnum,6
2026-03-20T19:12:44Z,program,CDSDRYRUN
2026-03-20T19:12:45Z,xpostn,221.59995
2026-03-20T19:12:45Z,ypostn,192.9666
2026-03-20T19:12:45Z,zpostn,286.3817
2026-03-20T19:12:45Z,xlod,22
2026-03-20T19:12:45Z,ylod,36
2026-03-20T19:12:45Z,zlod,57
2026-03-20T19:12:45Z,fact,108.628988
2026-03-20T19:12:45Z,toolnum,6
2026-03-20T19:12:45Z,program,CDSDRYRUN
